"Country or Area","SNA93 Table Code","Sub Group","Item","SNA93 Item Code","Year","Series","Currency","SNA System","Fiscal Year Type","Value","Value Footnotes"
"Bulgaria","3.2","Individual consumption expenditure of households","Equals: Household final consumption expenditure","P.31","2016","1000","lev","2008","Western calendar year","55739900000","1"
"Bulgaria","3.2","Individual consumption expenditure of non-profit institutions serving households (NPISHs)","Equals: NPISHs final consumption expenditure","P.31/13","2016","1000","lev","2008","Western calendar year","578600000","1"
"Bulgaria","3.2","Individual consumption expenditure of general government","Health","14.2","2016","1000","lev","2008","Western calendar year","4011700000",""
"Bulgaria","3.2","Individual consumption expenditure of general government","Recreation and culture","14.3","2016","1000","lev","2008","Western calendar year","250000000",""
"Bulgaria","3.2","Individual consumption expenditure of general government","Education","14.4","2016","1000","lev","2008","Western calendar year","2512200000",""
"Bulgaria","3.2","Individual consumption expenditure of general government","Social protection","14.5","2016","1000","lev","2008","Western calendar year","403100000",""
"Bulgaria","3.2","Individual consumption expenditure of general government","Equals: Individual consumption expenditure of general government","P.31/14","2016","1000","lev","2008","Western calendar year","7461000000","1,2"
"Bulgaria","3.2","","Equals: Total actual individual consumption","P.41","2016","1000","lev","2008","Western calendar year","63779500000","1"
"Bulgaria","3.2","Individual consumption expenditure of households","Food and non-alcoholic beverages","01","2015","1000","lev","2008","Western calendar year","10929600000",""
"Bulgaria","3.2","Individual consumption expenditure of households","Alcoholic beverages, tobacco and narcotics","02","2015","1000","lev","2008","Western calendar year","3904700000",""
"Bulgaria","3.2","Individual consumption expenditure of households","Clothing and footwear","03","2015","1000","lev","2008","Western calendar year","1802200000",""
"Bulgaria","3.2","Individual consumption expenditure of households","Housing, water, electricity, gas and other fuels","04","2015","1000","lev","2008","Western calendar year","10875000000",""
"Bulgaria","3.2","Individual consumption expenditure of households","Furnishings, household equipment and routine maintenance of the house","05","2015","1000","lev","2008","Western calendar year","3729500000",""
"Bulgaria","3.2","Individual consumption expenditure of households","Health","06","2015","1000","lev","2008","Western calendar year","2696600000",""
"Bulgaria","3.2","Individual consumption expenditure of households","Transport","07","2015","1000","lev","2008","Western calendar year","8999300000",""
"Bulgaria","3.2","Individual consumption expenditure of households","Communication","08","2015","1000","lev","2008","Western calendar year","3242800000",""
"Bulgaria","3.2","Individual consumption expenditure of households","Recreation and culture","09","2015","1000","lev","2008","Western calendar year","4247200000",""
"Bulgaria","3.2","Individual consumption expenditure of households","Education","10","2015","1000","lev","2008","Western calendar year","498100000",""
"Bulgaria","3.2","Individual consumption expenditure of households","Restaurants and hotels","11","2015","1000","lev","2008","Western calendar year","4074900000",""
"Bulgaria","3.2","Individual consumption expenditure of households","Miscellaneous goods and services","12","2015","1000","lev","2008","Western calendar year","3413800000",""
"Bulgaria","3.2","Individual consumption expenditure of households","Equals: Household final consumption expenditure in domestic market","P.31","2015","1000","lev","2008","Western calendar year","58413800000",""
"Bulgaria","3.2","Individual consumption expenditure of households","Equals: Household final consumption expenditure","P.31","2015","1000","lev","2008","Western calendar year","54830900000",""
"Bulgaria","3.2","Individual consumption expenditure of non-profit institutions serving households (NPISHs)","Equals: NPISHs final consumption expenditure","P.31/13","2015","1000","lev","2008","Western calendar year","555100000",""
"Bulgaria","3.2","Individual consumption expenditure of general government","Health","14.2","2015","1000","lev","2008","Western calendar year","3784200000",""
"Bulgaria","3.2","Individual consumption expenditure of general government","Recreation and culture","14.3","2015","1000","lev","2008","Western calendar year","256700000",""
"Bulgaria","3.2","Individual consumption expenditure of general government","Education","14.4","2015","1000","lev","2008","Western calendar year","2742100000",""
"Bulgaria","3.2","Individual consumption expenditure of general government","Social protection","14.5","2015","1000","lev","2008","Western calendar year","428000000",""
"Bulgaria","3.2","Individual consumption expenditure of general government","Equals: Individual consumption expenditure of general government","P.31/14","2015","1000","lev","2008","Western calendar year","7177000000","2"
"Bulgaria","3.2","","Equals: Total actual individual consumption","P.41","2015","1000","lev","2008","Western calendar year","62563100000",""
"Bulgaria","3.2","Individual consumption expenditure of households","Food and non-alcoholic beverages","01","2014","1000","lev","2008","Western calendar year","10469900000",""
"Bulgaria","3.2","Individual consumption expenditure of households","Alcoholic beverages, tobacco and narcotics","02","2014","1000","lev","2008","Western calendar year","3745000000",""
"Bulgaria","3.2","Individual consumption expenditure of households","Clothing and footwear","03","2014","1000","lev","2008","Western calendar year","1726400000",""
"Bulgaria","3.2","Individual consumption expenditure of households","Housing, water, electricity, gas and other fuels","04","2014","1000","lev","2008","Western calendar year","10542700000",""
"Bulgaria","3.2","Individual consumption expenditure of households","Furnishings, household equipment and routine maintenance of the house","05","2014","1000","lev","2008","Western calendar year","3572700000",""
"Bulgaria","3.2","Individual consumption expenditure of households","Health","06","2014","1000","lev","2008","Western calendar year","2743200000",""
"Bulgaria","3.2","Individual consumption expenditure of households","Transport","07","2014","1000","lev","2008","Western calendar year","8620900000",""
"Bulgaria","3.2","Individual consumption expenditure of households","Communication","08","2014","1000","lev","2008","Western calendar year","3106400000",""
