"Country or Area","SNA93 Table Code","Sub Group","Item","SNA93 Item Code","Year","Series","Currency","SNA System","Fiscal Year Type","Value","Value Footnotes"
"Greece","3.2","Individual consumption expenditure of households","Equals: Household final consumption expenditure","P.31","2016","1000","Euro","2008","Western calendar year","119252830259",""
"Greece","3.2","Individual consumption expenditure of non-profit institutions serving households (NPISHs)","Equals: NPISHs final consumption expenditure","P.31/13","2016","1000","Euro","2008","Western calendar year","4778670474",""
"Greece","3.2","Individual consumption expenditure of general government","Equals: Individual consumption expenditure of general government","P.31/14","2016","1000","Euro","2008","Western calendar year","15510834218",""
"Greece","3.2","","Equals: Total actual individual consumption","P.41","2016","1000","Euro","2008","Western calendar year","139542334951",""
"Greece","3.2","Individual consumption expenditure of households","Food and non-alcoholic beverages","01","2015","1000","Euro","2008","Western calendar year","21621301723",""
"Greece","3.2","Individual consumption expenditure of households","Alcoholic beverages, tobacco and narcotics","02","2015","1000","Euro","2008","Western calendar year","6582859039",""
"Greece","3.2","Individual consumption expenditure of households","Clothing and footwear","03","2015","1000","Euro","2008","Western calendar year","4402814573",""
"Greece","3.2","Individual consumption expenditure of households","Housing, water, electricity, gas and other fuels","04","2015","1000","Euro","2008","Western calendar year","26779187509",""
"Greece","3.2","Individual consumption expenditure of households","Furnishings, household equipment and routine maintenance of the house","05","2015","1000","Euro","2008","Western calendar year","4107486898",""
"Greece","3.2","Individual consumption expenditure of households","Health","06","2015","1000","Euro","2008","Western calendar year","5569048604",""
"Greece","3.2","Individual consumption expenditure of households","Transport","07","2015","1000","Euro","2008","Western calendar year","18018775195",""
"Greece","3.2","Individual consumption expenditure of households","Communication","08","2015","1000","Euro","2008","Western calendar year","5691822168",""
"Greece","3.2","Individual consumption expenditure of households","Recreation and culture","09","2015","1000","Euro","2008","Western calendar year","5840603585",""
"Greece","3.2","Individual consumption expenditure of households","Education","10","2015","1000","Euro","2008","Western calendar year","2713618973",""
"Greece","3.2","Individual consumption expenditure of households","Restaurants and hotels","11","2015","1000","Euro","2008","Western calendar year","19232118509",""
"Greece","3.2","Individual consumption expenditure of households","Miscellaneous goods and services","12","2015","1000","Euro","2008","Western calendar year","9710571532",""
"Greece","3.2","Individual consumption expenditure of households","Equals: Household final consumption expenditure in domestic market","P.31","2015","1000","Euro","2008","Western calendar year","130270208307",""
"Greece","3.2","Individual consumption expenditure of households","Plus: Direct purchases abroad by residents","","2015","1000","Euro","2008","Western calendar year","2025110000",""
"Greece","3.2","Individual consumption expenditure of households","Less: Direct purchases in domestic market by non-residents","","2015","1000","Euro","2008","Western calendar year","14194350000",""
"Greece","3.2","Individual consumption expenditure of households","Equals: Household final consumption expenditure","P.31","2015","1000","Euro","2008","Western calendar year","118100969776",""
"Greece","3.2","Individual consumption expenditure of non-profit institutions serving households (NPISHs)","Equals: NPISHs final consumption expenditure","P.31/13","2015","1000","Euro","2008","Western calendar year","4732429762",""
"Greece","3.2","Individual consumption expenditure of general government","Equals: Individual consumption expenditure of general government","P.31/14","2015","1000","Euro","2008","Western calendar year","15283272611",""
"Greece","3.2","","Equals: Total actual individual consumption","P.41","2015","1000","Euro","2008","Western calendar year","138116672150",""
"Greece","3.2","Individual consumption expenditure of households","Food and non-alcoholic beverages","01","2014","1000","Euro","2008","Western calendar year","21584552861",""
"Greece","3.2","Individual consumption expenditure of households","Alcoholic beverages, tobacco and narcotics","02","2014","1000","Euro","2008","Western calendar year","6487119757",""
"Greece","3.2","Individual consumption expenditure of households","Clothing and footwear","03","2014","1000","Euro","2008","Western calendar year","4584662046",""
"Greece","3.2","Individual consumption expenditure of households","Housing, water, electricity, gas and other fuels","04","2014","1000","Euro","2008","Western calendar year","27683936443",""
"Greece","3.2","Individual consumption expenditure of households","Furnishings, household equipment and routine maintenance of the house","05","2014","1000","Euro","2008","Western calendar year","4386779203",""
"Greece","3.2","Individual consumption expenditure of households","Health","06","2014","1000","Euro","2008","Western calendar year","5312122309",""
"Greece","3.2","Individual consumption expenditure of households","Transport","07","2014","1000","Euro","2008","Western calendar year","17506979250",""
