"Country or Area","SNA93 Table Code","Sub Group","Item","SNA93 Item Code","Year","Series","Currency","SNA System","Fiscal Year Type","Value","Value Footnotes"
"Turkey","3.2","Individual consumption expenditure of households","Food and non-alcoholic beverages","01","2015","1000","New Turkish lira","2008","Western calendar year","321262887137",""
"Turkey","3.2","Individual consumption expenditure of households","Alcoholic beverages, tobacco and narcotics","02","2015","1000","New Turkish lira","2008","Western calendar year","44289592280",""
"Turkey","3.2","Individual consumption expenditure of households","Clothing and footwear","03","2015","1000","New Turkish lira","2008","Western calendar year","110756553096",""
"Turkey","3.2","Individual consumption expenditure of households","Housing, water, electricity, gas and other fuels","04","2015","1000","New Turkish lira","2008","Western calendar year","231894918525",""
"Turkey","3.2","Individual consumption expenditure of households","Furnishings, household equipment and routine maintenance of the house","05","2015","1000","New Turkish lira","2008","Western calendar year","119974995784",""
"Turkey","3.2","Individual consumption expenditure of households","Health","06","2015","1000","New Turkish lira","2008","Western calendar year","31256433148",""
"Turkey","3.2","Individual consumption expenditure of households","Transport","07","2015","1000","New Turkish lira","2008","Western calendar year","237168414233",""
"Turkey","3.2","Individual consumption expenditure of households","Communication","08","2015","1000","New Turkish lira","2008","Western calendar year","49522829481",""
"Turkey","3.2","Individual consumption expenditure of households","Recreation and culture","09","2015","1000","New Turkish lira","2008","Western calendar year","84471084291",""
"Turkey","3.2","Individual consumption expenditure of households","Education","10","2015","1000","New Turkish lira","2008","Western calendar year","22856345116",""
"Turkey","3.2","Individual consumption expenditure of households","Restaurants and hotels","11","2015","1000","New Turkish lira","2008","Western calendar year","115239401790",""
"Turkey","3.2","Individual consumption expenditure of households","Miscellaneous goods and services","12","2015","1000","New Turkish lira","2008","Western calendar year","114782529554",""
"Turkey","3.2","Individual consumption expenditure of general government","Equals: Individual consumption expenditure of general government","P.31/14","2015","1000","New Turkish lira","2008","Western calendar year","115358061774.5",""
"Turkey","3.2","","Equals: Total actual individual consumption","P.41","2015","1000","New Turkish lira","2008","Western calendar year","1527268948382.5",""
"Turkey","3.2","Individual consumption expenditure of households","Food and non-alcoholic beverages","01","2014","1000","New Turkish lira","2008","Western calendar year","275343826331",""
"Turkey","3.2","Individual consumption expenditure of households","Food and non-alcoholic beverages","01","2014","100","New Turkish lira","1993","Western calendar year","331763065600",""
"Turkey","3.2","Individual consumption expenditure of households","Alcoholic beverages, tobacco and narcotics","02","2014","1000","New Turkish lira","2008","Western calendar year","38936787989",""
"Turkey","3.2","Individual consumption expenditure of households","Clothing and footwear","03","2014","1000","New Turkish lira","2008","Western calendar year","99592280659",""
"Turkey","3.2","Individual consumption expenditure of households","Clothing and footwear","03","2014","100","New Turkish lira","1993","Western calendar year","58655811150",""
"Turkey","3.2","Individual consumption expenditure of households","Housing, water, electricity, gas and other fuels","04","2014","1000","New Turkish lira","2008","Western calendar year","207775722633",""
"Turkey","3.2","Individual consumption expenditure of households","Housing, water, electricity, gas and other fuels","04","2014","100","New Turkish lira","1993","Western calendar year","233523298000",""
"Turkey","3.2","Individual consumption expenditure of households","Furnishings, household equipment and routine maintenance of the house","05","2014","1000","New Turkish lira","2008","Western calendar year","106104041975",""
"Turkey","3.2","Individual consumption expenditure of households","Furnishings, household equipment and routine maintenance of the house","05","2014","100","New Turkish lira","1993","Western calendar year","95435613950",""
"Turkey","3.2","Individual consumption expenditure of households","Health","06","2014","1000","New Turkish lira","2008","Western calendar year","26212664334",""
"Turkey","3.2","Individual consumption expenditure of households","Health","06","2014","100","New Turkish lira","1993","Western calendar year","39309685340",""
"Turkey","3.2","Individual consumption expenditure of households","Transport","07","2014","1000","New Turkish lira","2008","Western calendar year","207519437935",""
"Turkey","3.2","Individual consumption expenditure of households","Transport","07","2014","100","New Turkish lira","1993","Western calendar year","263906223100",""
"Turkey","3.2","Individual consumption expenditure of households","Communication","08","2014","1000","New Turkish lira","2008","Western calendar year","46852919316",""
"Turkey","3.2","Individual consumption expenditure of households","Recreation and culture","09","2014","1000","New Turkish lira","2008","Western calendar year","73843246335",""
"Turkey","3.2","Individual consumption expenditure of households","Recreation and culture","09","2014","100","New Turkish lira","1993","Western calendar year","49860911410",""
"Turkey","3.2","Individual consumption expenditure of households","Education","10","2014","1000","New Turkish lira","2008","Western calendar year","19560984361",""
"Turkey","3.2","Individual consumption expenditure of households","Education","10","2014","100","New Turkish lira","1993","Western calendar year","17211982740",""
"Turkey","3.2","Individual consumption expenditure of households","Restaurants and hotels","11","2014","1000","New Turkish lira","2008","Western calendar year","105557416261",""
"Turkey","3.2","Individual consumption expenditure of households","Restaurants and hotels","11","2014","100","New Turkish lira","1993","Western calendar year","87977743850",""
"Turkey","3.2","Individual consumption expenditure of households","Miscellaneous goods and services","12","2014","1000","New Turkish lira","2008","Western calendar year","98078983186",""
"Turkey","3.2","Individual consumption expenditure of households","Miscellaneous goods and services","12","2014","100","New Turkish lira","1993","Western calendar year","98462746070",""
"Turkey","3.2","Individual consumption expenditure of households","Equals: Household final consumption expenditure in domestic market","P.31","2014","1000","New Turkish lira","2008","Western calendar year","1305378311313",""
"Turkey","3.2","Individual consumption expenditure of households","Equals: Household final consumption expenditure in domestic market","P.31","2014","100","New Turkish lira","1993","Western calendar year","1276107081000",""
"Turkey","3.2","Individual consumption expenditure of households","Plus: Direct purchases abroad by residents","","2014","100","New Turkish lira","1993","Western calendar year","11104530430",""
"Turkey","3.2","Individual consumption expenditure of households","Less: Direct purchases in domestic market by non-residents","","2014","100","New Turkish lira","1993","Western calendar year","83314462640",""
"Turkey","3.2","Individual consumption expenditure of households","Equals: Household final consumption expenditure","P.31","2014","100","New Turkish lira","1993","Western calendar year","1203897149000","1"
"Turkey","3.2","Individual consumption expenditure of general government","Equals: Individual consumption expenditure of general government","P.31/14","2014","1000","New Turkish lira","2008","Western calendar year","102447029851.53",""
"Turkey","3.2","Individual consumption expenditure of general government","Equals: Individual consumption expenditure of general government","P.31/14","2014","100","New Turkish lira","1993","Western calendar year","95356244938.64",""
"Turkey","3.2","","Equals: Total actual individual consumption","P.41","2014","1000","New Turkish lira","2008","Western calendar year","1344675563750.53",""
"Turkey","3.2","","Equals: Total actual individual consumption","P.41","2014","100","New Turkish lira","1993","Western calendar year","1299253393938.64",""
"Turkey","3.2","Individual consumption expenditure of households","Food and non-alcoholic beverages","01","2013","1000","New Turkish lira","2008","Western calendar year","243366416671",""
"Turkey","3.2","Individual consumption expenditure of households","Food and non-alcoholic beverages","01","2013","100","New Turkish lira","1993","Western calendar year","290801842600",""
"Turkey","3.2","Individual consumption expenditure of households","Alcoholic beverages, tobacco and narcotics","02","2013","1000","New Turkish lira","2008","Western calendar year","36054997957",""
"Turkey","3.2","Individual consumption expenditure of households","Clothing and footwear","03","2013","1000","New Turkish lira","2008","Western calendar year","85992656438",""
"Turkey","3.2","Individual consumption expenditure of households","Clothing and footwear","03","2013","100","New Turkish lira","1993","Western calendar year","57372751380",""
"Turkey","3.2","Individual consumption expenditure of households","Housing, water, electricity, gas and other fuels","04","2013","1000","New Turkish lira","2008","Western calendar year","191886486981",""
"Turkey","3.2","Individual consumption expenditure of households","Housing, water, electricity, gas and other fuels","04","2013","100","New Turkish lira","1993","Western calendar year","214005696100",""
"Turkey","3.2","Individual consumption expenditure of households","Furnishings, household equipment and routine maintenance of the house","05","2013","1000","New Turkish lira","2008","Western calendar year","95677807557",""
"Turkey","3.2","Individual consumption expenditure of households","Furnishings, household equipment and routine maintenance of the house","05","2013","100","New Turkish lira","1993","Western calendar year","86168739400",""
"Turkey","3.2","Individual consumption expenditure of households","Health","06","2013","1000","New Turkish lira","2008","Western calendar year","24575971429",""
"Turkey","3.2","Individual consumption expenditure of households","Health","06","2013","100","New Turkish lira","1993","Western calendar year","34479403660",""
"Turkey","3.2","Individual consumption expenditure of households","Transport","07","2013","1000","New Turkish lira","2008","Western calendar year","191336856646",""
"Turkey","3.2","Individual consumption expenditure of households","Transport","07","2013","100","New Turkish lira","1993","Western calendar year","235978823600",""
"Turkey","3.2","Individual consumption expenditure of households","Communication","08","2013","1000","New Turkish lira","2008","Western calendar year","41964258348",""
